Data;OPERAÇÃO COMERCIAL;Qtde (Metro cúbico);Valor US$ FOB
2011-06-01;EXPORTAÇÃO;2779990.397;1866824289
2011-05-01;EXPORTAÇÃO;3951702.92;2693183311
2011-03-01;EXPORTAÇÃO;2094252.0;1143710739
2011-11-01;EXPORTAÇÃO;2400644.0;1522505197
2011-10-01;EXPORTAÇÃO;2750126.0;1750551624
2011-09-01;EXPORTAÇÃO;2399722.973;1459662419
2011-04-01;IMPORTAÇÃO;2164833.0;1634152678
2011-08-01;IMPORTAÇÃO;1416876.202;1058322410
2011-12-01;IMPORTAÇÃO;1260591.85;932238300
2011-02-01;IMPORTAÇÃO;1861389.765;1150523952
2011-01-01;IMPORTAÇÃO;1023328.411;640508832
2011-07-01;IMPORTAÇÃO;1026035.0;801771994
2011-06-01;IMPORTAÇÃO;1683584.0;1321038591
2011-05-01;IMPORTAÇÃO;1828406.0;1460130768
2011-03-01;IMPORTAÇÃO;1867903.484;1335650071
2011-11-01;IMPORTAÇÃO;1775224.0;1335371101
2011-10-01;IMPORTAÇÃO;1931387.0;1392620668
2011-09-01;IMPORTAÇÃO;1441261.0;1089476664
2012-04-01;EXPORTAÇÃO;3156675.021;2250979426
2012-08-01;EXPORTAÇÃO;4001876.332;2334210463
2012-12-01;EXPORTAÇÃO;3674111.834;2311014633
2012-02-01;EXPORTAÇÃO;2632470.687;1682153949
2012-01-01;EXPORTAÇÃO;2438161.834;1553983918
2012-07-01;EXPORTAÇÃO;2334936.835;1348032731
2012-06-01;EXPORTAÇÃO;1667295.976;1065155301
2012-05-01;EXPORTAÇÃO;2569591.008;1779810230
2012-03-01;EXPORTAÇÃO;3205606.444;2115644731
2012-11-01;EXPORTAÇÃO;2456275.182;1573939101
2012-10-01;EXPORTAÇÃO;1283882.973;794288048
2012-09-01;EXPORTAÇÃO;2460466.516;1496664060
2012-04-01;IMPORTAÇÃO;2020591.262;1643874628
2012-08-01;IMPORTAÇÃO;679917.1996;462050429
2012-12-01;IMPORTAÇÃO;1696042.047;1263639770
2012-02-01;IMPORTAÇÃO;962404.8743;730127399
2012-01-01;IMPORTAÇÃO;1502685.0;1118909736
2012-07-01;IMPORTAÇÃO;1869553.11;1235122745
2012-06-01;IMPORTAÇÃO;2265191.822;1664015742
2012-05-01;IMPORTAÇÃO;1551755.824;1225097942
2012-03-01;IMPORTAÇÃO;1369698.759;1122551552
2012-11-01;IMPORTAÇÃO;2193487.533;1567014194
2012-10-01;IMPORTAÇÃO;567239.9476;418055242
2012-09-01;IMPORTAÇÃO;1437658.551;998017992
2013-04-01;EXPORTAÇÃO;1133544.736;675674329
2013-08-01;EXPORTAÇÃO;1879212.81;1088002165
2013-12-01;EXPORTAÇÃO;3069962.243;1770642759
2013-02-01;EXPORTAÇÃO;1717736.893;1032218102
2013-01-01;EXPORTAÇÃO;818687.4823;473625468
2013-07-01;EXPORTAÇÃO;1292904.449;692158186
2013-06-01;EXPORTAÇÃO;1293103.038;728293100
2013-05-01;EXPORTAÇÃO;1943946.581;1096945579
2013-03-01;EXPORTAÇÃO;2043853.183;1290209733
2013-11-01;EXPORTAÇÃO;2684151.88;1574214894
2013-10-01;EXPORTAÇÃO;1647705.056;980878038
2013-09-01;EXPORTAÇÃO;2570836.643;1553745089
2013-04-01;IMPORTAÇÃO;1828551.873;1406353586
2013-08-01;IMPORTAÇÃO;992555.3183;708375962
2013-12-01;IMPORTAÇÃO;1850061.837;1384731474
2013-02-01;IMPORTAÇÃO;1520363.184;1122987868
2013-01-01;IMPORTAÇÃO;1698149.675;1220020142
2013-07-01;IMPORTAÇÃO;4502092.937;3144117294
2013-06-01;IMPORTAÇÃO;1393646.111;971222564
2013-05-01;IMPORTAÇÃO;2380842.646;1439387300
2013-03-01;IMPORTAÇÃO;1696638.945;1267772303
2013-11-01;IMPORTAÇÃO;1373961.276;988490968
2013-10-01;IMPORTAÇÃO;3060027.055;1925983963
2013-09-01;IMPORTAÇÃO;1207536.087;883859473
2014-04-01;EXPORTAÇÃO;1811362.118;1078398533
2014-08-01;EXPORTAÇÃO;2581866.222;1488898574
2014-12-01;EXPORTAÇÃO;3559645.512;1446464989
2014-02-01;EXPORTAÇÃO;1467415.183;795771598
2014-01-01;EXPORTAÇÃO;1897045.292;1111427967
2014-07-01;EXPORTAÇÃO;4356290.733;2602565612
2014-06-01;EXPORTAÇÃO;2424855.312;1417716022
2014-05-01;EXPORTAÇÃO;2501574.21;1435617332
2014-03-01;EXPORTAÇÃO;1687991.313;975553711
2014-11-01;EXPORTAÇÃO;2928139.611;1376055404
2014-10-01;EXPORTAÇÃO;2496706.647;1301079260
2014-09-01;EXPORTAÇÃO;2399525.337;1327190582
2014-04-01;IMPORTAÇÃO;1791902.745;1261020979
2014-08-01;IMPORTAÇÃO;1577758.329;1152543880
2014-12-01;IMPORTAÇÃO;2213379.939;1285964678
2014-02-01;IMPORTAÇÃO;2177695.181;1616699049
2014-01-01;IMPORTAÇÃO;1571408.989;1098324319
2014-07-01;IMPORTAÇÃO;2643681.424;1892551873
2014-06-01;IMPORTAÇÃO;1942532.484;1366113327
2014-05-01;IMPORTAÇÃO;1505718.4;1096436445
2014-03-01;IMPORTAÇÃO;1103637.679;809150401
2014-11-01;IMPORTAÇÃO;2069969.775;1291663525
2014-10-01;IMPORTAÇÃO;1482235.039;972343916
2014-09-01;IMPORTAÇÃO;2838399.749;2031123080
2015-04-01;EXPORTAÇÃO;3866146.984;1088393159
2015-08-01;EXPORTAÇÃO;4032912.784;1132640741
2015-12-01;EXPORTAÇÃO;4143389.235;876172681
2015-02-01;EXPORTAÇÃO;2765310.457;676721007
2015-01-01;EXPORTAÇÃO;3732468.319;1188709955
2015-07-01;EXPORTAÇÃO;3129111.482;1001821787
2015-06-01;EXPORTAÇÃO;4414593.771;1445919594
2015-05-01;EXPORTAÇÃO;3732575.904;1149737010
2015-03-01;EXPORTAÇÃO;2989342.215;849856388
2015-11-01;EXPORTAÇÃO;2759678.949;671700966
2015-10-01;EXPORTAÇÃO;3955529.446;911490679
2015-09-01;EXPORTAÇÃO;3232281.27;788144333
2015-04-01;IMPORTAÇÃO;933809.3781;357677096
2015-08-01;IMPORTAÇÃO;1256352.646;523967695
2015-12-01;IMPORTAÇÃO;1825972.265;568353116
2015-02-01;IMPORTAÇÃO;1959466.469;893358086
2015-01-01;IMPORTAÇÃO;346853.4006;189920026
2015-07-01;IMPORTAÇÃO;1314885.047;545401463
2015-06-01;IMPORTAÇÃO;1852745.795;745218754
2015-05-01;IMPORTAÇÃO;1095512.976;399557874
2015-03-01;IMPORTAÇÃO;1379517.896;544153025
2015-11-01;IMPORTAÇÃO;2092114.672;680414674
2015-10-01;IMPORTAÇÃO;3242332.237;1344407130
2015-09-01;IMPORTAÇÃO;1506401.488;588415321
2016-04-01;EXPORTAÇÃO;3926964.754;700856490
2016-08-01;EXPORTAÇÃO;4453150.127;1068827024
2016-12-01;EXPORTAÇÃO;2923629.484;689946446
2016-02-01;EXPORTAÇÃO;3566611.7;512908285
2016-01-01;EXPORTAÇÃO;4366319.81;811488525
2016-07-01;EXPORTAÇÃO;3634996.207;906794823
2016-06-01;EXPORTAÇÃO;4129295.378;966238279
2016-05-01;EXPORTAÇÃO;2614051.105;532942269
2016-03-01;EXPORTAÇÃO;3365326.294;510255830
2016-11-01;EXPORTAÇÃO;4322695.587;1161048155
2016-10-01;EXPORTAÇÃO;4435660.357;1110381320
2016-09-01;EXPORTAÇÃO;4583385.238;1102109822
2016-04-01;IMPORTAÇÃO;727263.9672;192239757
2016-08-01;IMPORTAÇÃO;566044.2364;175033942
2016-12-01;IMPORTAÇÃO;483383.9842;170159981
2016-02-01;IMPORTAÇÃO;1434966.971;375823862
2016-01-01;IMPORTAÇÃO;817938.9625;232367531
2016-07-01;IMPORTAÇÃO;650665.9141;210825086
2016-06-01;IMPORTAÇÃO;1232932.201;353547766
2016-05-01;IMPORTAÇÃO;987187.2867;228591881
2016-03-01;IMPORTAÇÃO;1126892.493;277105349
2016-11-01;IMPORTAÇÃO;816825.7947;228239833
2016-10-01;IMPORTAÇÃO;772188.7311;234539871
2016-09-01;IMPORTAÇÃO;746323.7706;220380927
